disease,biospecimen_samples,taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom,qualifier
bacterial vaginosis,vaginal swab,1596,"[1596, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_gasseri,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_jensenii,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,cervicovaginal lavage,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,cervicovaginal lavage,1380,"[1380, 1643824, 84999, 84998, 201174, 1783272, 2, 131567, 1]",1643824,,atopobium,atopobiaceae,coriobacteriales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,cervicovaginal lavage,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
bacterial vaginosis,cervicovaginal lavage,2098,"[2098, 2895509, 2895623, 2790996, 544448, 1783272, 2, 131567, 1]",2895509,Metamycoplasma_hominis,metamycoplasma,metamycoplasmataceae,mycoplasmoidales,,Mycoplasmatota,terrabacteria group,bacteria,elevated
bacterial vaginosis,cervicovaginal lavage,29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,cervicovaginal lavage,47293,"[47293, 2652277, 2050, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2652277,Mobiluncus_sp.,mobiluncus,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,147802,"[147802, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_iners,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_jensenii,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,2702,"[2702, 2701, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2701,Gardnerella_vaginalis,gardnerella,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,1380,"[1380, 1643824, 84999, 84998, 201174, 1783272, 2, 131567, 1]",1643824,,atopobium,atopobiaceae,coriobacteriales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,168808,"[168808, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,sneathia,leptotrichiaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,elevated
bacterial vaginosis,vaginal swab,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
cervicitis,vaginal swab,147802,"[147802, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_iners,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
cervicitis,vaginal swab,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
cervicitis,vaginal swab,109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_jensenii,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
cervicitis,vaginal swab,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
cervicitis,vaginal swab,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
bacterial vaginosis,vaginal swab,109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_jensenii,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,2702,"[2702, 2701, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2701,Gardnerella_vaginalis,gardnerella,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,82135,"[82135, 2767327, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2767327,Fannyhessea_vaginae,fannyhessea,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
bacterial vaginosis,vaginal swab,906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,megasphaera,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,32067,"[32067, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,leptotrichia,leptotrichiaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,elevated
bacterial vaginosis,vaginal swab,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,2098,"[2098, 2895509, 2895623, 2790996, 544448, 1783272, 2, 131567, 1]",2895509,Metamycoplasma_hominis,metamycoplasma,metamycoplasmataceae,mycoplasmoidales,,Mycoplasmatota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,134821,"[134821, 2129, 2092, 2085, 31969, 544448, 1783272, 2, 131567, 1]",2129,Ureaplasma_parvum,ureaplasma,mycoplasmataceae,mycoplasmatales,mollicutes,Mycoplasmatota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,147802,"[147802, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_iners,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,2702,"[2702, 2701, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2701,Gardnerella_vaginalis,gardnerella,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,1129771,"[1129771, 203491, 203490, 32066, 2, 131567, 1]",203491,,,leptotrichiaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,elevated
smoking,vaginal swab,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,33037,"[33037, 165779, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",165779,Anaerococcus_vaginalis,anaerococcus,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,162289,"[162289, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,peptoniphilus,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus_anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,2037,"[2037, 1760, 201174, 1783272, 2, 131567, 1]",1760,,,,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,187101,"[187101, 168808, 1129771, 203491, 203490, 32066, 2, 131567, 1]",168808,Sneathia_vaginalis,sneathia,leptotrichiaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,reduced
pregnancy,vaginal fluid,1260,"[1260, 150022, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",150022,Finegoldia_magna,finegoldia,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
pregnancy,vaginal fluid,28125,"[28125, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella_bivia,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
pregnancy,vaginal fluid,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,2702,"[2702, 2701, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2701,Gardnerella_vaginalis,gardnerella,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,39948,"[39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,dialister,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,2129,"[2129, 2092, 2085, 31969, 544448, 1783272, 2, 131567, 1]",2092,,ureaplasma,mycoplasmataceae,mycoplasmatales,mollicutes,Mycoplasmatota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,82135,"[82135, 2767327, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2767327,Fannyhessea_vaginae,fannyhessea,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,Parvimonas_micra,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,reduced
pregnancy,vaginal fluid,1633,"[1633, 2742598, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2742598,Limosilactobacillus_vaginalis,limosilactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
pregnancy,vaginal fluid,109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_jensenii,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
pregnancy,vaginal fluid,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
pregnancy,vaginal fluid,1596,"[1596, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_gasseri,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
idiopathic infertility,vaginal fluid,32066,"[32066, 2, 131567, 1]",2,,,,,,Fusobacteriota,,bacteria,reduced
idiopathic infertility,vaginal fluid,147802,"[147802, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_iners,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
idiopathic infertility,vaginal fluid,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
idiopathic infertility,vaginal fluid,1596,"[1596, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_gasseri,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
idiopathic infertility,vaginal fluid,29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
idiopathic infertility,vaginal fluid,45972,"[45972, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus_pasteuri,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
idiopathic infertility,vaginal fluid,2702,"[2702, 2701, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2701,Gardnerella_vaginalis,gardnerella,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
idiopathic infertility,vaginal fluid,28125,"[28125, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella_bivia,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
bacterial vaginosis,vaginal swab,147802,"[147802, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_iners,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,1584,"[1584, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_delbrueckii,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,1311,"[1311, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_agalactiae,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
bacterial vaginosis,vaginal swab,1351,"[1351, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1350,Enterococcus_faecalis,enterococcus,enterococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,1352,"[1352, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1350,Enterococcus_faecium,enterococcus,enterococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,1354,"[1354, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1350,Enterococcus_hirae,enterococcus,enterococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,1579,"[1579, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_acidophilus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
bacterial vaginosis,vaginal swab,1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus_anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,2097,"[2097, 2995234, 2895623, 2790996, 544448, 1783272, 2, 131567, 1]",2995234,Mycoplasmoides_genitalium,mycoplasmoides,metamycoplasmataceae,mycoplasmoidales,,Mycoplasmatota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,118747,"[118747, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,bulleidia,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,194,"[194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",72294,,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,Campylobacterota,,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,39948,"[39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,dialister,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,68766,"[68766, 2648384, 848, 203492, 203491, 203490, 32066, 2, 131567, 1]",2648384,Fusobacterium_sp.,fusobacterium,fusobacteriaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,1378,"[1378, 539738, 1385, 91061, 1239, 1783272, 2, 131567, 1]",539738,,gemella,gemellaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,52228,"[52228, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171552,,hallella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,megasphaera,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,543311,"[543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,162289,"[162289, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,peptoniphilus,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,1262,"[1262, 2652281, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2652281,Peptostreptococcus_sp.,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,168808,"[168808, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,sneathia,leptotrichiaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,elevated
trichomonas vaginalis infection,vaginal swab,40544,"[40544, 995019, 80840, 28216, 1224, 2, 131567, 1]",995019,,sutterella,sutterellaceae,burkholderiales,betaproteobacteria,Pseudomonadota,,bacteria,elevated
human papilloma virus infection,cervicovaginal lavage,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
parkinson's disease,faeces,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
parkinson's disease,faeces,504481,"[504481, 563835, 1853229, 1853228, 976, 68336, 1783270, 2, 131567, 1]",563835,,sediminibacterium,chitinophagaceae,chitinophagales,chitinophagia,Bacteroidota,fcb group,bacteria,reduced
parkinson's disease,faeces,239759,"[239759, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,alistipes,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
parkinson's disease,faeces,577309,"[577309, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171552,,paraprevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
parkinson's disease,faeces,570,"[570, 2890311, 543, 91347, 1236, 1224, 2, 131567, 1]",2890311,,klebsiella,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
parkinson's disease,faeces,13687,"[13687, 41297, 204457, 28211, 1224, 2, 131567, 1]",41297,,sphingomonas,sphingomonadaceae,sphingomonadales,alphaproteobacteria,Pseudomonadota,,bacteria,elevated
parkinson's disease,faeces,469,"[469, 468, 2887326, 1236, 1224, 2, 131567, 1]",468,,acinetobacter,moraxellaceae,moraxellales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
parkinson's disease,faeces,92793,"[92793, 224471, 80840, 28216, 1224, 2, 131567, 1]",224471,,aquabacterium,,burkholderiales,betaproteobacteria,Pseudomonadota,,bacteria,elevated
parkinson's disease,faeces,885,"[885, 2593640, 872, 194924, 213115, 3031449, 200940, 2, 131567, 1]",2593640,Desulfovibrio_sp.,desulfovibrio,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,Thermodesulfobacteriota,,bacteria,elevated
parkinson's disease,faeces,186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
parkinson's disease,faeces,580596,"[580596, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",31979,,butyricicoccus,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
parkinson's disease,faeces,497726,"[497726, 1033997, 1033996, 1643678, 651137, 1783275, 2157, 131567, 1]",1033997,,nitrososphaera,nitrososphaeraceae,nitrososphaerales,nitrososphaeria,Nitrososphaerota,tack group,archaea,elevated
parkinson's disease,faeces,526524,"[526524, 1239, 1783272, 2, 131567, 1]",1239,,,,,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
parkinson's disease,faeces,356,"[356, 28211, 1224, 2, 131567, 1]",28211,,,,hyphomicrobiales,alphaproteobacteria,Pseudomonadota,,bacteria,elevated
parkinson's disease,faeces,341027,"[341027, 2609468, 28453, 84566, 200666, 117747, 976, 68336, 1783270, 2, 131567, 1]",2609468,Sphingobacterium_sp.,sphingobacterium,sphingobacteriaceae,sphingobacteriales,sphingobacteriia,Bacteroidota,fcb group,bacteria,elevated
parkinson's disease,faeces,171550,"[171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171549,,,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
parkinson's disease,faeces,32033,"[32033, 135614, 1236, 1224, 2, 131567, 1]",135614,,,lysobacteraceae,lysobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
parkinson's disease,faeces,468,"[468, 2887326, 1236, 1224, 2, 131567, 1]",2887326,,,moraxellaceae,moraxellales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
pulmonary tubercolosis,faeces,28125,"[28125, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella_bivia,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
pulmonary tubercolosis,faeces,52226,"[52226, 52225, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",52225,Mitsuokella_multacida,mitsuokella,selenomonadaceae,selenomonadales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
pulmonary tubercolosis,faeces,1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_adolescentis,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
pulmonary tubercolosis,faeces,28126,"[28126, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Segatella_buccae,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
pulmonary tubercolosis,faeces,626940,"[626940, 33024, 909930, 1843488, 909932, 1239, 1783272, 2, 131567, 1]",33024,Phascolarctobacterium_succinatutens,phascolarctobacterium,acidaminococcaceae,acidaminococcales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
pulmonary tubercolosis,faeces,47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,Lactobacillus_crispatus,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
pulmonary tubercolosis,faeces,310298,"[310298, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,Phocaeicola_coprocola,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
pulmonary tubercolosis,faeces,1773,"[1773, 77643, 1763, 1762, 85007, 1760, 201174, 1783272, 2, 131567, 1]",77643,Mycobacterium_tuberculosis,mycobacterium,mycobacteriaceae,mycobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
pulmonary tubercolosis,faeces,29361,"[29361, 1506577, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1506577,[clostridium]_nexile,tyzzerella,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pulmonary tubercolosis,faeces,360807,"[360807, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia_inulinivorans,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pulmonary tubercolosis,faeces,853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium_prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pulmonary tubercolosis,faeces,624,"[624, 620, 543, 91347, 1236, 1224, 2, 131567, 1]",620,Shigella_sonnei,shigella,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
